Date,BTC / USD,Social Volume,Social Dominance
"2023-09-26T12:00:00.000Z",26213.639936061492,42,0.53633
"2023-09-27T00:00:00.000Z",26726.237190551376,247,0.891439
"2023-09-27T12:00:00.000Z",26351.70591276769,344,0.795873
"2023-09-28T00:00:00.000Z",26448.162278572654,309,1.05
"2023-09-28T12:00:00.000Z",27020.03769716412,355,0.845762
"2023-09-29T00:00:00.000Z",26970.50655054925,892,3.01
"2023-09-29T12:00:00.000Z",26911.72160276557,275,0.695709
"2023-09-30T00:00:00.000Z",26940.901871426147,268,1.05
"2023-09-30T12:00:00.000Z",26972.20827973471,315,0.899332
"2023-10-01T00:00:00.000Z",27202.631927073995,304,1.24
"2023-10-01T12:00:00.000Z",27983.219493928165,310,0.886474
"2023-10-02T00:00:00.000Z",28230.20369438843,308,1.02
"2023-10-02T12:00:00.000Z",27547.102518531487,439,1.05
"2023-10-03T00:00:00.000Z",27552.44853219823,354,1.22
"2023-10-03T12:00:00.000Z",27428.477707616836,421,1.05
"2023-10-04T00:00:00.000Z",27572.768920275605,389,1.32
"2023-10-04T12:00:00.000Z",27792.672768841087,343,0.763172
"2023-10-05T00:00:00.000Z",27731.79249604775,276,0.924778
"2023-10-05T12:00:00.000Z",27414.06308461347,333,0.804698
"2023-10-06T00:00:00.000Z",27760.925432021093,284,0.966282
"2023-10-06T12:00:00.000Z",27955.711990807366,383,0.914452
"2023-10-07T00:00:00.000Z",27952.838458738315,241,0.951103
"2023-10-07T12:00:00.000Z",27968.838870789834,280,0.874372
"2023-10-08T00:00:00.000Z",27836.255845708158,278,1.15
"2023-10-08T12:00:00.000Z",27939.329762293975,289,0.879703
"2023-10-09T00:00:00.000Z",27466.43915995126,352,1.25
"2023-10-09T12:00:00.000Z",27584.496872023155,377,0.989449
"2023-10-10T00:00:00.000Z",27532.731832721518,313,1.06
"2023-10-10T12:00:00.000Z",27391.700576415296,336,0.878362
"2023-10-11T00:00:00.000Z",27192.349697405003,248,0.880995
"2023-10-11T12:00:00.000Z",26873.321120758894,362,0.924059
"2023-10-12T00:00:00.000Z",26832.840316200116,277,0.888077
"2023-10-12T12:00:00.000Z",26755.200090804334,305,0.784505
"2023-10-13T00:00:00.000Z",26808.453655908255,274,0.952845
"2023-10-13T12:00:00.000Z",26860.710443841195,306,0.868479
"2023-10-14T00:00:00.000Z",26865.61748649469,255,1.08
"2023-10-14T12:00:00.000Z",26861.706202559675,262,0.844535
"2023-10-15T00:00:00.000Z",26861.43633813348,219,0.859633
"2023-10-15T12:00:00.000Z",27155.957394741286,284,0.912567
"2023-10-16T00:00:00.000Z",27744.58608244245,249,0.887542
"2023-10-16T12:00:00.000Z",28519.924269561343,290,0.671203
"2023-10-17T00:00:00.000Z",28447.509170796904,290,0.887284
"2023-10-17T12:00:00.000Z",28418.551092360805,331,0.749989
"2023-10-18T00:00:00.000Z",28383.540564430943,256,0.828774
"2023-10-18T12:00:00.000Z",28329.396988427543,311,0.817775
"2023-10-19T00:00:00.000Z",28449.00852448468,273,1.02
"2023-10-19T12:00:00.000Z",28718.221535936347,308,0.890019
"2023-10-20T00:00:00.000Z",29856.645012320292,253,0.855481
"2023-10-20T12:00:00.000Z",29682.949273603557,269,0.787217
"2023-10-21T00:00:00.000Z",29807.171684948466,172,0.817607
"2023-10-21T12:00:00.000Z",29916.626113584993,174,0.603643
"2023-10-22T00:00:00.000Z",29895.814821943964,144,0.603445
"2023-10-22T12:00:00.000Z",29986.640273436496,205,0.755538
"2023-10-23T00:00:00.000Z",30685.413404205978,287,1
"2023-10-23T12:00:00.000Z",33053.35448340296,264,0.66702
"2023-10-24T00:00:00.000Z",34574.73561243442,262,0.730986
"2023-10-24T12:00:00.000Z",33883.787806213666,280,0.769654
"2023-10-25T00:00:00.000Z",34208.90840206791,208,0.778851
"2023-10-25T12:00:00.000Z",34493.97609816156,265,0.777514
"2023-10-26T00:00:00.000Z",34106.84653799451,214,0.830487
"2023-10-26T12:00:00.000Z",34156.64982838871,230,0.75395
"2023-10-27T00:00:00.000Z",34057.58431111997,177,0.799711
"2023-10-27T12:00:00.000Z",33909.799284311055,229,0.814367
"2023-10-28T00:00:00.000Z",34186.57078219503,202,1.1
"2023-10-28T12:00:00.000Z",34089.575872222245,224,1.03
"2023-10-29T00:00:00.000Z",34280.72554853316,230,1.4
"2023-10-29T12:00:00.000Z",34538.48208811027,254,1.13
"2023-10-30T00:00:00.000Z",34651.11525335757,205,1.01
"2023-10-30T12:00:00.000Z",34502.36466323515,262,0.886003
"2023-10-31T00:00:00.000Z",34548.13549321014,196,0.849478
"2023-10-31T12:00:00.000Z",34667.779360546745,277,0.924566
"2023-11-01T00:00:00.000Z",34428.795074442336,224,1.05
"2023-11-01T12:00:00.000Z",35437.25318108723,270,0.770174
"2023-11-02T00:00:00.000Z",35390.08730471314,190,0.648907
"2023-11-02T12:00:00.000Z",34938.24239514348,240,0.722892
"2023-11-03T00:00:00.000Z",34273.73441677945,198,0.817911
"2023-11-03T12:00:00.000Z",34732.3255842841,236,0.802066
"2023-11-04T00:00:00.000Z",34714.83825150722,125,0.629628
"2023-11-04T12:00:00.000Z",35082.19722085255,192,0.72664
"2023-11-05T00:00:00.000Z",35092.880356266185,214,1.07
"2023-11-05T12:00:00.000Z",35049.355924023635,181,0.661163
"2023-11-06T00:00:00.000Z",35227.3402481225,255,0.931677
"2023-11-06T12:00:00.000Z",35037.36944071989,297,0.923163
"2023-11-07T00:00:00.000Z",34667.24577738793,202,0.887288
"2023-11-07T12:00:00.000Z",35443.56136071489,322,1.02
"2023-11-08T00:00:00.000Z",35342.84893268078,197,0.808305
"2023-11-08T12:00:00.000Z",35655.276081231335,252,0.699903
"2023-11-09T00:00:00.000Z",36810.70243604635,209,0.749319
"2023-11-09T12:00:00.000Z",36693.12363384313,333,0.737199
"2023-11-10T00:00:00.000Z",37035.56997971736,249,0.879051
"2023-11-10T12:00:00.000Z",37313.96968745709,320,0.793493
"2023-11-11T00:00:00.000Z",37005.13546381265,202,0.845684
"2023-11-11T12:00:00.000Z",37138.05054089541,228,0.676337
"2023-11-12T00:00:00.000Z",37075.58693214679,152,0.690909
"2023-11-12T12:00:00.000Z",37054.52014290949,194,0.728338
"2023-11-13T00:00:00.000Z",36831.33632848449,228,0.961944
"2023-11-13T12:00:00.000Z",36502.357337328074,252,0.784558
"2023-11-14T00:00:00.000Z",36333.02282415304,212,0.881644
"2023-11-14T12:00:00.000Z",35537.640515525054,345,0.826387
"2023-11-15T00:00:00.000Z",36264.604568086725,246,0.846117
"2023-11-15T12:00:00.000Z",37880.5831724307,428,1.07
"2023-11-16T00:00:00.000Z",37176.829887641616,260,0.836901
"2023-11-16T12:00:00.000Z",36154.76924136849,387,0.964726
"2023-11-17T00:00:00.000Z",36390.38665166019,311,1.11
"2023-11-17T12:00:00.000Z",36596.6819231214,526,1.49
"2023-11-18T00:00:00.000Z",36447.735846067,408,1.78
"2023-11-18T12:00:00.000Z",36585.70292986443,367,1.4
"2023-11-19T00:00:00.000Z",36484.414831633316,244,1.28
"2023-11-19T12:00:00.000Z",37386.547774872015,367,1.28
"2023-11-20T00:00:00.000Z",37182.859041202704,525,2.02
"2023-11-20T12:00:00.000Z",37476.95585928785,712,1.93
"2023-11-21T00:00:00.000Z",37190.359938268186,336,1.07
"2023-11-21T12:00:00.000Z",35813.811363629546,473,0.997091
"2023-11-22T00:00:00.000Z",36478.491724088715,355,1.24
"2023-11-22T12:00:00.000Z",37432.33830672268,538,1.34
"2023-11-23T00:00:00.000Z",37335.92193518469,294,1.05
"2023-11-23T12:00:00.000Z",37289.62066062905,334,0.957953
"2023-11-24T00:00:00.000Z",37726.986731476354,251,0.911998
"2023-11-24T12:00:00.000Z",37720.28115213977,318,0.897595
"2023-11-25T00:00:00.000Z",37637.91443910009,222,0.917507
"2023-11-25T12:00:00.000Z",37796.792344848036,267,0.861096
"2023-11-26T00:00:00.000Z",37689.581834125034,205,0.937743
"2023-11-26T12:00:00.000Z",37479.122293661945,285,0.945964
"2023-11-27T00:00:00.000Z",37120.43521935668,207,0.835891
"2023-11-27T12:00:00.000Z",37254.168854249416,240,0.75662
"2023-11-28T00:00:00.000Z",37237.22814693221,212,0.930682
"2023-11-28T12:00:00.000Z",37831.08686845,267,0.781319
"2023-11-29T00:00:00.000Z",38132.06513997504,180,0.697647
"2023-11-29T12:00:00.000Z",37858.49405482494,319,0.870704
"2023-11-30T00:00:00.000Z",37873.39740299061,213,0.824559
"2023-11-30T12:00:00.000Z",37712.747771632465,313,0.967991
"2023-12-01T00:00:00.000Z",38584.512646770294,253,0.856118
"2023-12-01T12:00:00.000Z",38688.748361191225,310,0.863269
"2023-12-02T00:00:00.000Z",38759.87977294006,146,0.694279
"2023-12-02T12:00:00.000Z",39476.33328037219,177,0.581414
"2023-12-03T00:00:00.000Z",39483.86665463988,118,0.542604
"2023-12-03T12:00:00.000Z",39978.39181654488,314,0.964196
"2023-12-04T00:00:00.000Z",41591.920029636596,183,0.539664
"2023-12-04T12:00:00.000Z",41980.099479767974,239,0.609041
"2023-12-05T00:00:00.000Z",41685.70598779387,177,0.680429
"2023-12-05T12:00:00.000Z",44080.647951063314,289,0.671094
"2023-12-06T00:00:00.000Z",43746.421455261065,255,0.799248
"2023-12-06T12:00:00.000Z",43746.44535725917,333,0.764867
"2023-12-07T00:00:00.000Z",43239.439550330346,224,0.789483
"2023-12-07T12:00:00.000Z",43292.66423920804,376,0.921523
"2023-12-08T00:00:00.000Z",43643.562206293136,191,0.702567
"2023-12-08T12:00:00.000Z",44166.60063818234,307,0.74931
"2023-12-09T00:00:00.000Z",43832.46364445148,170,0.64794
"2023-12-09T12:00:00.000Z",43725.9858124315,214,0.663216
"2023-12-10T00:00:00.000Z",43748.27529171992,140,0.537779
"2023-12-10T12:00:00.000Z",43779.697287995696,415,0.808888
"2023-12-11T00:00:00.000Z",42327.4454766494,160,0.50215
"2023-12-11T12:00:00.000Z",41243.83331462401,315,0.675212
"2023-12-12T00:00:00.000Z",41665.043296646545,215,0.617195
"2023-12-12T12:00:00.000Z",41450.222190466484,348,0.701825
"2023-12-13T00:00:00.000Z",41046.68798218458,250,0.760989
"2023-12-13T12:00:00.000Z",42890.74073359007,377,0.745413
"2023-12-14T00:00:00.000Z",43225.688441652914,269,0.65557
"2023-12-14T12:00:00.000Z",43023.97197419326,442,0.747796
"2023-12-15T00:00:00.000Z",42783.01952135871,279,0.702028
"2023-12-15T12:00:00.000Z",41929.75839290097,315,0.644805
"2023-12-16T00:00:00.000Z",42293.416828201465,148,0.458673
"2023-12-16T12:00:00.000Z",42240.119082050114,271,0.650005
"2023-12-17T00:00:00.000Z",41926.02941454992,176,0.600662
"2023-12-17T12:00:00.000Z",41364.665918236955,270,0.672897
"2023-12-18T00:00:00.000Z",41058.41332794195,351,0.941195
"2023-12-18T12:00:00.000Z",42623.5383250276,442,0.782259
"2023-12-19T00:00:00.000Z",42989.3915393527,254,0.62594
"2023-12-19T12:00:00.000Z",42270.526139511014,249,0.49802
"2023-12-20T00:00:00.000Z",42949.09664597084,191,0.556041
"2023-12-20T12:00:00.000Z",43652.24866801767,337,0.669036
"2023-12-21T00:00:00.000Z",43913.123285063266,249,0.733302
"2023-12-21T12:00:00.000Z",43869.15085699366,293,0.616025
"2023-12-22T00:00:00.000Z",43755.04463221532,208,0.567082
"2023-12-22T12:00:00.000Z",43997.901409954924,268,0.636776
"2023-12-23T00:00:00.000Z",43588.3870559102,149,0.533591
"2023-12-23T12:00:00.000Z",43739.542137223485,204,0.530628
"2023-12-24T00:00:00.000Z",43645.95707350318,157,0.529029
"2023-12-24T12:00:00.000Z",43016.11762118305,190,0.5373
"2023-12-25T00:00:00.000Z",43199.52183705819,123,0.480863
"2023-12-25T12:00:00.000Z",43613.142084662155,228,0.642561
"2023-12-26T00:00:00.000Z",42682.98680641663,240,0.826617
"2023-12-26T12:00:00.000Z",42520.401511268676,262,0.671795
"2023-12-27T00:00:00.000Z",42939.45632977855,210,0.710179
"2023-12-27T12:00:00.000Z",43442.8545582321,292,0.65748
"2023-12-28T00:00:00.000Z",43085.31144828498,194,0.627385
"2023-12-28T12:00:00.000Z",42630.520979577086,241,0.564667
"2023-12-29T00:00:00.000Z",42920.79861503457,202,0.669561
"2023-12-29T12:00:00.000Z",42099.40280858003,287,0.710924
"2023-12-30T00:00:00.000Z",41903.091197455986,256,0.951673
"2023-12-30T12:00:00.000Z",42203.0746151656,267,0.732149
"2023-12-31T00:00:00.000Z",42495.34589055624,173,0.658395
"2023-12-31T12:00:00.000Z",42265.18565486596,237,0.712418
"2024-01-01T00:00:00.000Z",42687.30690961664,137,0.603737
"2024-01-01T12:00:00.000Z",44167.33021407736,260,0.784266
"2024-01-02T00:00:00.000Z",45321.83262776862,210,0.604334
"2024-01-02T12:00:00.000Z",44951.13800528624,317,0.678699
"2024-01-03T00:00:00.000Z",43771.74115560786,228,0.709264
