Date,BTC / USD,Social Volume,Social Dominance
"2023-09-25T12:00:00.000Z",26298.49528856138,105,1.37
"2023-09-26T00:00:00.000Z",26252.998473730117,349,1.06
"2023-09-26T12:00:00.000Z",26213.639936061492,709,1.73
"2023-09-27T00:00:00.000Z",26726.237190551376,712,2.57
"2023-09-27T12:00:00.000Z",26351.70591276769,741,1.71
"2023-09-28T00:00:00.000Z",26448.162278572654,405,1.37
"2023-09-28T12:00:00.000Z",27020.03769716412,559,1.33
"2023-09-29T00:00:00.000Z",26970.50655054925,1149,3.87
"2023-09-29T12:00:00.000Z",26911.72160276557,587,1.49
"2023-09-30T00:00:00.000Z",26940.901871426147,340,1.33
"2023-09-30T12:00:00.000Z",26972.20827973471,507,1.45
"2023-10-01T00:00:00.000Z",27202.631927073995,318,1.3
"2023-10-01T12:00:00.000Z",27983.219493928165,461,1.32
"2023-10-02T00:00:00.000Z",28230.20369438843,364,1.21
"2023-10-02T12:00:00.000Z",27547.102518531487,461,1.11
"2023-10-03T00:00:00.000Z",27552.44853219823,394,1.36
"2023-10-03T12:00:00.000Z",27428.477707616836,483,1.21
"2023-10-04T00:00:00.000Z",27572.768920275605,320,1.09
"2023-10-04T12:00:00.000Z",27792.672768841087,475,1.06
"2023-10-05T00:00:00.000Z",27731.79249604775,356,1.19
"2023-10-05T12:00:00.000Z",27414.06308461347,432,1.04
"2023-10-06T00:00:00.000Z",27760.925432021093,326,1.11
"2023-10-06T12:00:00.000Z",27955.711990807366,419,1
"2023-10-07T00:00:00.000Z",27952.838458738315,361,1.42
"2023-10-07T12:00:00.000Z",27968.838870789834,369,1.15
"2023-10-08T00:00:00.000Z",27836.255845708158,250,1.04
"2023-10-08T12:00:00.000Z",27939.329762293975,368,1.12
"2023-10-09T00:00:00.000Z",27466.43915995126,287,1.02
"2023-10-09T12:00:00.000Z",27584.496872023155,355,0.93171
"2023-10-10T00:00:00.000Z",27532.731832721518,277,0.938124
"2023-10-10T12:00:00.000Z",27391.700576415296,521,1.36
"2023-10-11T00:00:00.000Z",27192.349697405003,287,1.02
"2023-10-11T12:00:00.000Z",26873.321120758894,436,1.11
"2023-10-12T00:00:00.000Z",26832.840316200116,315,1.01
